sku,category_ids
etrade238,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Mechanical Pencils|0.5mm"
etrade239,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Highlighters|Yellow"
etrade240,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Highlighters|Green"
etrade241,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Highlighters|Orange"
etrade242,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Highlighters|Pink"
etrade243,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Highlighters|Blue"
etrade244,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Highlighters|Unspecified"
etrade245,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Mechanical Pencils|0.9mm"
etrade246,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Mechanical Pencils|0.7mm"
etrade247,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Mechanical Pencils|0.5mm"
etrade248,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Leads|0.3mm"
etrade249,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Leads|0.5mm"
etrade250,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Leads|0.7mm"
etrade251,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Refill Leads|0.9mm"
etrade252,"rt - office supplies|Facilities|Catering|Kitchen Appliances|Coffee Maker"
etrade253,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Permanent Markers|Bullet Tip"
etrade254,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Permanent Markers|Bullet Tip"
etrade255,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Permanent Markers|Bullet Tip"
etrade256,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Permanent Markers|Bullet Tip"
etrade257,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Permanent Markers|Bullet Tip"
etrade258,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Black"
etrade259,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Red"
etrade260,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Blue"
etrade261,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Green"
etrade262,"rt - office supplies|Office Supplies|Desktop Accessories|Letter Trays|Letter Tray"
etrade263,"rt - office supplies|Office Supplies|Desktop Accessories|Letter Trays|Letter Tray"
etrade264,"rt - office supplies|Office Supplies|Desktop Accessories|Letter Trays|Letter Tray"
etrade265,"rt - office supplies|Office Supplies|Desktop Accessories|Letter Trays|Letter Tray"
etrade266,"rt - office supplies|Office Supplies|Desktop Accessories|Letter Trays|Letter Tray"
etrade267,"rt - office supplies|Office Supplies|Desktop Accessories|Letter Trays|Letter Tray"
etrade268,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Black"
etrade269,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Blue"
etrade270,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Red"
etrade271,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fountain Pens|Black Barrel"
etrade272,"rt - office supplies|Office Supplies|Pens, Pencils & Writing Supplies|Fineliner Pens|Blue"
